Category,Code,Description
Diagnostic,D0120,Periodic Oral Evaluation
Diagnostic,D0140,Limited Oral Eval Prob Focused
Diagnostic,D0145,"Oral Eval Pt Under 3 Yrs, Counsel Primary"
Diagnostic,D0150,Compsve Oral Eval- New/Est Pat
Diagnostic,D0160,Detailed & Ext Oral Eval By Rp
Diagnostic,D0170,Re-Evaluation- Limited
Diagnostic,D0171,Re-Evaluation - Post-Operative Office Visit
Diagnostic,D0180,Compsve Perio Eval New/Est Pat
Diagnostic,D0190,Screening Of A Patient
Diagnostic,D0191,Assessment Of A Patient
Diagnostic,D0210,Intraoral - Complete Series Of Radiographic Images
Diagnostic,D0220,Intraoral - Peripical First Radiographic Image
Diagnostic,D0230,Intraoral - Peripical Each Addl Radiographic Image
Diagnostic,D0240,Intraoral - Occlusal Radiographic Image
Diagnostic,D0250,Extraoral - First Radiographic Image
Diagnostic,D0251,Extra-oral Posterior Dental Radiographic Image
Diagnostic,D0260,Extraoral - Each Addnl Radiographic Image
Diagnostic,D0270,Bitewing - Single Radiographic Image
Diagnostic,D0272,Bitewings - Two Radiographic Images
Diagnostic,D0273,Bitewings - Three Radiographic Images
Diagnostic,D0274,Bitewings - Four Radiographic Images
Diagnostic,D0277,Vertical Bitewings - 7-8 Radiographic Images
Diagnostic,D0290,Posterior-Anterior Survey Radiographic Images
Diagnostic,D0310,Sialography
Diagnostic,D0320,TMJ Arthrogram W/Injection
Diagnostic,D0321,"Other TMJ Radiographic Images, By Rpt"
Diagnostic,D0322,Tomographic Survey
Diagnostic,D0330,Panoramic Radiographic Image
Diagnostic,D0340,Cephalometric Radiographic Image
Diagnostic,D0350,2D Oral/Facial Photographic Image-Intraoral/Extrao
Diagnostic,D0351,3D Photographic Image
Diagnostic,D0364,Cone Beam CT Limited View - Less Than Whole Jaw
Diagnostic,D0365,Cone Beam CT Full Arch View - Mandible
Diagnostic,D0366,Cone Beam CT Full Arch View - Maxilla W/wo Cranium
Diagnostic,D0367,Cone Beam CT Full 2 Jaw View W/wo Cranium
Diagnostic,D0368,"Cone Beam CT For TMJ Series, Including 2+ Exposure"
Diagnostic,D0369,Maxillofacial MRI Capture/Interpretation
Diagnostic,D0370,Maxillofacial Ultrasound Capture/Interpretation
Diagnostic,D0371,Sialoendoscopy Capture/Interpretation
Diagnostic,D0380,Cone Beam CT Lmtd View Capture - Less Than Whl Jaw
Diagnostic,D0381,Cone Beam CT Capture Full Arch View - Mandible
Diagnostic,D0382,Cone Beam CT Capture Full Arch View-Maxilla W/woCr
Diagnostic,D0383,Cone Beam CT Capture Full 2 Jaw View W/wo Cranium
Diagnostic,D0384,"Cone Beam CT Capture TMJ Series, Incl 2+ Exposures"
Diagnostic,D0385,Maxillofacial MRI Image Capture
Diagnostic,D0386,Maxillofacial Ultrasound Image Capture
Diagnostic,D0391,"Interpretation Diag Image By Practitioner, By Rpt"
Diagnostic,D0393,Treatment Simulation Using 3D Image Volume
