AppointmentDetails,,Carrier
AppointmentDetail_ARCHIVE,,CHARTCOLORS
AppointmentHeader,,ChartMaterials
ChartActivity,,ChartNotesMacros
ChartPerioActivity,,Codes
CHARTPERIOSETUP,,CODESEXPLOSIOND
ClaimsDetail,,CODESEXPLOSIONH
DEFINITIONS,,CODESVIEW
DEFINITIONSH,,COLAGENCY
IMAGEDETAIL,,Employers
IMAGEGROUP,,FeeScheA
IMAGETEMPLATE,,FeeScheD
LedgerInsDetail_Archive,,FeeScheH
LedgerPymtAllocation_Archive,,InsCustCoverage
Ledger_archive,,InsPlans
PatCariesRisk1340,,Office
PatContractBilling,,OGROUP
PatFlashAlerts,,Operatory
PatInsContractBilling,,PROVIDERINSID
PatInsPlans,,PROVIDERROUTESLIP
PatMedicalHistoryH,,Providers
PATORTHOPLAN,,REFERRALDEMOGD
PatRegPlan,,REFERRALDEMOGH
PatRx,,Referrals
PATSECINSCONTRACTBILLING,,INSCOVERAGE
PATSIGNATURE,,
PERIOCHARTDETAIL,,
PERIOCHARTHEADER,,
PGroup,,
PGRX,,
POSTCARDS,,
QALISTD,,
QALISTH,,
RespInsplan,,
RESPNOTES,,
RespParty,,
SMS,,
STATUSTRACK,,
TCLOCK,,
APPTH_ARCHIVE,,
CLAIMH,,
LEDGER,,
LEDGERINSD,,
LEDGERPAYALLOC,,
PATIENT,,
PATMEDICALHISTORYD,,
PATNOTES,,
PATNOTES_ARCHIVE,,
PATRECALL,,
PROGRESSNOTES,,
TREATPLAN,,
TREATPLANINSD,,
TREATPLANINSD_ARCHIVE,,
TREATPLAN_ARCHIVE,,
